ObjectID,USER_District_Number,USER_District_Name,USER_District_Superintendent,USER_School_Number,Column2,USER_School_Name,USER_Instruction_Type,USER_NCES_School_ID,USER_School_City,USER_School_Principal,USER_Grade_Range,Enrollment,School_Type,Reading Not On Grade-Level,Math Not On Grade-Level,Attendance Rate,Chronic Absenteeism Rate,Teacher Count,Admin Count,Average Teacher Salary,Average Admin Salary,Campus Grade,Campus Score
12,'001906,NECHES ISD,MR CORY HINES   ,'001906002,1906002,NECHES High School,REGULAR INSTRUCTIONAL,'483225003575,NECHES,MS LINDSEY BATCHELOR   ,'07-12,142,High School,31%,14%,95.9%,10.4%,15.3,1,54761,78000,A,95
11,'001906,NECHES ISD,MR CORY HINES   ,'001906102,1906102,NECHES Elementary,REGULAR INSTRUCTIONAL,'483225003574,NECHES,AMY WILSON   ,'EE-06,195,Elementary School,44%,62%,96.7%,7.0%,15.5,2,51085,63613,C,72
14,'001907,PALESTINE ISD,MR JASON L MARSHALL   ,'001907001,1907001,PALESTINE High School,REGULAR INSTRUCTIONAL,'483405003788,PALESTINE,MRS TOSCHA REEVES   ,'09-12,1003,High School,46%,53%,95.2%,12.8%,79.3,7,58663,96325,A,92
13,'001907,PALESTINE ISD,MR JASON L MARSHALL   ,'001907041,1907041,PALESTINE Junior High,REGULAR INSTRUCTIONAL,'483405003784,PALESTINE,MR JOSEPH MASON   ,'07-08,456,Junior High School,51%,55%,95.3%,11.3%,39.3,3,52880,78737,B,80
16,'001907,PALESTINE ISD,MR JASON L MARSHALL   ,'001907101,1907101,NORTHSIDE Primary,REGULAR INSTRUCTIONAL,'483405003787,PALESTINE,MRS TRACI PrimaryDGEN   ,'KG-01,400,Elementary School,.,.,94.7%,14.4%,26.4,2,55079,76023,C,78
15,'001907,PALESTINE ISD,MR JASON L MARSHALL   ,'001907102,1907102,WASHINGTON EARLY CHILDHOOD CENTER,REGULAR INSTRUCTIONAL,'483405012588,PALESTINE,MRS SHEILA BRADLEY   ,'EE-PK,215,Elementary School,.,.,.,.,14,1,49997,88922,C,78
17,'001907,PALESTINE ISD,MR JASON L MARSHALL   ,'001907107,1907107,SOUTHSIDE Elementary,REGULAR INSTRUCTIONAL,'483405003790,PALESTINE,MRS LOLITA SHEAD   ,'02-03,442,Elementary School,58%,59%,95.9%,8.2%,29.4,2,54070,69000,C,78
20,'001907,PALESTINE ISD,MR JASON L MARSHALL   ,'001907110,1907110,STORY Intermediate,REGULAR INSTRUCTIONAL,'483405005566,PALESTINE,MRS GRACE MANCILLA   ,'04-06,670,Elementary School,63%,57%,95.5%,9.9%,39.8,3,53137,86500,C,74
18,'001908,WESTWOOD ISD,MR WADE STANFORD   ,'001908002,1908002,WESTWOOD High School,REGULAR INSTRUCTIONAL,'484329004915,PALESTINE,MR SCOTT NETTLES   ,'09-12,405,High School,56%,77%,94.0%,19.0%,36.8,3.7,52445,80780,B,84
19,'001908,WESTWOOD ISD,MR WADE STANFORD   ,'001908041,1908041,WESTWOOD Junior High,REGULAR INSTRUCTIONAL,'484329004916,PALESTINE,MRS LAURA JONES   ,'07-08,200,Junior High School,70%,79%,95.3%,12.1%,20,3.8,48152,64470,F,53
22,'001908,WESTWOOD ISD,MR WADE STANFORD   ,'001908101,1908101,WESTWOOD Elementary,REGULAR INSTRUCTIONAL,'484329004914,PALESTINE,MRS KAYLA WARREN   ,'03-06,404,Elementary School,59%,67%,94.8%,14.7%,26.7,3,52297,70241,D,67
21,'001908,WESTWOOD ISD,MR WADE STANFORD   ,'001908102,1908102,WESTWOOD Primary,REGULAR INSTRUCTIONAL,'484329005606,PALESTINE,SHANNON RODRIQUEZ   ,'EE-02,378,Elementary School,.,.,94.3%,18.7%,23.7,1.5,49677,64300,D,67
26,'001909,SLOCUM ISD,MR CLIFF LASITER   ,'001909001,1909001,SLOCUM High School,REGULAR INSTRUCTIONAL,'484050004585,ELKHART,ERRIN DEER   ,'09-12,86,High School,10%,17%,96.8%,8.3%,11.7,1,64063,98100,A,94
25,'001909,SLOCUM ISD,MR CLIFF LASITER   ,'001909101,1909101,SLOCUM PK - 8,REGULAR INSTRUCTIONAL,'484050005640,ELKHART,GINA KELLUM   ,'EE-08,237,Elementary School,38%,45%,97.1%,5.2%,22.2,1.4,59822,85462,B,81
23,'002901,ANDREWS ISD,DR BOBBY AZAM   ,'002901001,2901001,ANDREWS High School,REGULAR INSTRUCTIONAL,'480828000194,ANDREWS,MR ROBERT WEBB   ,'09-12,1193,High School,52%,61%,92.4%,27.3%,83.3,6.2,65813,98908,A,90
27,'002901,ANDREWS ISD,DR BOBBY AZAM   ,'002901002,2901002,ANDREWS EDUCATION CENTER,ALTERNATIVE INSTRUCTIONAL,'480828007502,ANDREWS,MR CARLTON JOHNSON   ,'09-12,38,High School,68%,.,81.3%,76.2%,5,1,67560,89158,A,93
28,'002901,ANDREWS ISD,DR BOBBY AZAM   ,'002901041,2901041,ANDREWS Middle,REGULAR INSTRUCTIONAL,'480828000195,ANDREWS,MR DAVID LOWDER   ,'06-08,970,Middle School,48%,47%,94.0%,18.6%,59.5,4,63955,87312,B,84
30,'002901,ANDREWS ISD,DR BOBBY AZAM   ,'002901101,2901101,DEVONIAN Elementary,REGULAR INSTRUCTIONAL,'480828000196,ANDREWS,MR ARTURO ROMAN   ,'02-03,649,Elementary School,51%,65%,93.9%,16.9%,42.8,2,58383,89419,C,73
31,'002901,ANDREWS ISD,DR BOBBY AZAM   ,'002901104,2901104,UNDERWOOD Elementary,REGULAR INSTRUCTIONAL,'480828000199,ANDREWS,MRS SUSAN NETOPSKI   ,'04-05,638,Elementary School,55%,65%,93.9%,17.1%,40.7,2,58085,84528,C,72
29,'002901,ANDREWS ISD,DR BOBBY AZAM   ,'002901105,2901105,CLEARFORK Elementary,REGULAR INSTRUCTIONAL,'480828005844,ANDREWS,DR LISA MARROQUIN   ,'EE-01,721,Elementary School,.,.,93.1%,25.1%,46.4,2,59955,89205,C,73
35,'003902,HUDSON ISD,MR DONALD WEBB   ,'003902001,3902001,HUDSON High School,REGULAR INSTRUCTIONAL,'482379002631,LUFKIN,MR RICHARD CRENSHAW   ,'09-12,783,High School,29%,45%,94.7%,15.2%,60.4,4.1,57146,88262,B,86
37,'003902,HUDSON ISD,MR DONALD WEBB   ,'003902004,3902004,STUBBLEFIELD LRN CTR,ALTERNATIVE INSTRUCTIONAL,'482379007162,LUFKIN,MR BRENT MCCLAIN   ,'09-12,9,High School,100%,.,68.0%,88.2%,5,1,61100,77597,B,88
36,'003902,HUDSON ISD,MR DONALD WEBB   ,'003902041,3902041,HUDSON Middle,REGULAR INSTRUCTIONAL,'482379002632,LUFKIN,MR JONATHAN DAVIS   ,'06-08,681,Middle School,32%,32%,95.0%,12.2%,54,4.3,57176,75439,A,91
50,'003902,HUDSON ISD,MR DONALD WEBB   ,'003902101,3902101,W F PEAVY Primary,REGULAR INSTRUCTIONAL,'482379008687,LUFKIN,MRS LAURA MIKEAL   ,'EE-02,683,Elementary School,.,.,95.0%,10.3%,49.3,3,53310,69922,C,79
38,'003902,HUDSON ISD,MR DONALD WEBB   ,'003902102,3902102,W H BONNER Elementary,REGULAR INSTRUCTIONAL,'482379006865,LUFKIN,MRS KIMBERLY MCCOY   ,'03-05,621,Elementary School,44%,45%,95.3%,10.2%,45.5,4,56273,68506,C,79
41,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903001,3903001,LUFKIN High School,REGULAR INSTRUCTIONAL,'482855007762,LUFKIN,MRS JULIE MCMANUS   ,'09-12,2026,High School,52%,68%,93.0%,23.6%,175.5,18.6,56310,76766,B,84
39,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903004,3903004,STUBBLEFIELD LRN CTR,ALTERNATIVE INSTRUCTIONAL,'482855007163,LUFKIN,MR BRENT MCCLAIN   ,'09-12,56,High School,96%,100%,63.8%,89.6%,.,.,.,.,C,77
42,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903044,3903044,LUFKIN Middle,REGULAR INSTRUCTIONAL,'482855007763,LUFKIN,MR ANDRES MIJARES   ,'06-08,1453,Middle School,55%,67%,93.9%,18.5%,118.5,14.8,53525,68634,C,74
43,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903120,3903120,ANDERSON Elementary,REGULAR INSTRUCTIONAL,'482855007764,LUFKIN,MS HEATHER REID   ,'03-05,246,Elementary School,57%,55%,93.0%,24.4%,20.3,3,54005,78445,C,77
44,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903121,3903121,BRANDON Elementary,REGULAR INSTRUCTIONAL,'482855007765,LUFKIN,MS PAM MCCLENDON   ,'03-05,386,Elementary School,44%,53%,95.1%,11.8%,26.9,3,55574,70113,C,79
45,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903122,3903122,BROOKHOLLOW Elementary,REGULAR INSTRUCTIONAL,'482855007766,LUFKIN,MRS CINDY STEWART   ,'03-05,273,Elementary School,59%,78%,93.1%,23.3%,17.7,3,52140,70518,D,64
46,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903123,3903123,COSTON Elementary,REGULAR INSTRUCTIONAL,'482855007767,LUFKIN,MRS STARLA HILL   ,'03-05,211,Elementary School,67%,66%,93.0%,25.3%,16.1,3,56245,67028,D,69
52,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903124,3903124,DUNBAR Primary,REGULAR INSTRUCTIONAL,'482855007768,LUFKIN,DENETRA SLAUGHTER   ,'KG-02,268,Elementary School,.,.,94.7%,16.0%,25.3,3,52320,65534,C,79
49,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903125,3903125,GARRETT Primary,REGULAR INSTRUCTIONAL,'482855007769,LUFKIN,MRS KELLY PROUTT   ,'PK,344,Elementary School,.,.,.,.,19.5,3,52785,75364,C,77
47,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903127,3903127,HERTY Primary,REGULAR INSTRUCTIONAL,'482855007771,LUFKIN,MRS AMANDA GENTRY   ,'EE KG-02,276,Elementary School,.,.,90.7%,31.5%,23.5,4,54551,68179,D,69
48,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903128,3903128,KURTH Primary,REGULAR INSTRUCTIONAL,'482855007772,LUFKIN,MS ROXIE NASH   ,'PK-02,253,Elementary School,.,.,93.2%,24.7%,15.6,3,55758,69567,C,77
53,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903129,3903129,SLACK Elementary,REGULAR INSTRUCTIONAL,'482855007773,LUFKIN,MR DANNY WHISENANT   ,'03-05,408,Elementary School,56%,64%,95.3%,9.7%,36.6,4,56221,72474,C,72
54,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903130,3903130,TROUT Primary,REGULAR INSTRUCTIONAL,'482855007774,LUFKIN,MS TARSHA HENDERSON   ,'EE KG-02,219,Elementary School,.,.,92.6%,27.3%,18.6,2,51597,66904,D,64
51,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903131,3903131,BURLEY Primary,REGULAR INSTRUCTIONAL,'482855012355,LUFKIN,MRS YANETH CLIFTON   ,'KG-02,426,Elementary School,.,.,93.3%,20.2%,22.4,3,53893,66017,C,72
55,'003903,LUFKIN ISD,DR JAMES HOCKENBERRY   ,'003903201,3903201,JUVENILE DETENT CTR,ALTERNATIVE INSTRUCTIONAL,'482855000536,LUFKIN,MARK GORMAN   ,'04-12,9,Elementary/Secondary,.,.,100.0%,0.0%,1,0,56000,.,Not Rated,0
59,'003904,HUNTINGTON ISD,DR CAROLYN FIASCHETTI   ,'003904001,3904001,HUNTINGTON High School,REGULAR INSTRUCTIONAL,'482400002654,HUNTINGTON,MR CHRISTOPHER SHANE STOVER   ,'09-12,485,High School,36%,57%,93.6%,20.7%,40.1,3.1,56129,77012,B,89
56,'003904,HUNTINGTON ISD,DR CAROLYN FIASCHETTI   ,'003904005,3904005,PRIDE ALTER SCH,ALTERNATIVE INSTRUCTIONAL,'482400001969,HUNTINGTON,MR ADRIAN NEAL   ,'09-12,12,High School,0%,0%,82.9%,58.3%,2,1,49000,73500,B,88
57,'003904,HUNTINGTON ISD,DR CAROLYN FIASCHETTI   ,'003904041,3904041,HUNTINGTON Middle,REGULAR INSTRUCTIONAL,'482400002655,HUNTINGTON,MR KRIS WHISENANT   ,'06-08,339,Middle School,42%,54%,94.6%,13.6%,30.2,2.1,51991,69999,B,81
58,'003904,HUNTINGTON ISD,DR CAROLYN FIASCHETTI   ,'003904101,3904101,HUNTINGTON Elementary,REGULAR INSTRUCTIONAL,'482400002653,HUNTINGTON,MRS SHANA WHITTEMORE   ,'EE-03,491,Elementary School,54%,66%,94.3%,14.8%,37.7,2,51482,69000,C,70
60,'003904,HUNTINGTON ISD,DR CAROLYN FIASCHETTI   ,'003904102,3904102,HUNTINGTON Intermediate,REGULAR INSTRUCTIONAL,'482400006715,HUNTINGTON,MRS AMANDA POWERS   ,'04-05,237,Elementary School,54%,66%,94.5%,13.9%,17.4,1,54579,70000,C,76
62,'003905,DIBOLL ISD,MR MARK KETTERING   ,'003905001,3905001,DIBOLL High School,REGULAR INSTRUCTIONAL,'481704001475,DIBOLL,MRS SHEILA STEPHENS   ,'09-12,480,High School,49%,75%,92.9%,25.7%,39.3,2.2,60051,85277,B,80
61,'003905,DIBOLL ISD,MR MARK KETTERING   ,'003905004,3905004,STUBBLEFIELD LRN CTR,ALTERNATIVE INSTRUCTIONAL,'481704007503,LUFKIN,,'09-12,9,High School,67%,.,.,90.0%,.,.,.,.,Not Rated,0
63,'003905,DIBOLL ISD,MR MARK KETTERING   ,'003905041,3905041,DIBOLL Junior High,REGULAR INSTRUCTIONAL,'481704001476,DIBOLL,MR JAMES BOLLICH   ,'06-08,356,Middle School,47%,62%,94.4%,15.0%,31.8,2,60133,86179,C,79
64,'003905,DIBOLL ISD,MR MARK KETTERING   ,'003905101,3905101,H G TEMPLE Elementary,REGULAR INSTRUCTIONAL,'481704001474,DIBOLL,TAMMY CHESHIRE   ,'EE-02,428,Elementary School,.,.,93.7%,15.8%,34.7,1,59392,73500,B,81
65,'003905,DIBOLL ISD,MR MARK KETTERING   ,'003905103,3905103,H G TEMPLE Intermediate,REGULAR INSTRUCTIONAL,'481704012889,DIBOLL,OSCAR ENCARNACION   ,'03-05,309,Elementary School,55%,61%,95.2%,10.4%,26.2,2,61242,84284,B,81
68,'003906,ZAVALLA ISD,MR ZACHARY CRAWFORD   ,'003906001,3906001,ZAVALLA High School,REGULAR INSTRUCTIONAL,'484674005354,ZAVALLA,MR LARRY GLEN VAUGHAN   ,'06-12,141,Elementary/Secondary,46%,72%,91.5%,29.0%,16.3,1.1,55190,85161,B,82
69,'003906,ZAVALLA ISD,MR ZACHARY CRAWFORD   ,'003906101,3906101,ZAVALLA Elementary,REGULAR INSTRUCTIONAL,'484674005353,ZAVALLA TEXAS,MR MATTHEW ROY VARNER   ,'EE-05,162,Elementary School,69%,89%,94.4%,19.0%,17.5,1,55840,68500,F,44
73,'003907,CENTRAL ISD,JUSTIN RISNER   ,'003907001,3907001,CENTRAL High School,REGULAR INSTRUCTIONAL,'481350000846,POLLOK,BRYAN FINCH   ,'09-12,408,High School,47%,69%,93.6%,18.6%,35,3,57771,83739,B,86
70,'003907,CENTRAL ISD,JUSTIN RISNER   ,'003907004,3907004,STUBBLEFIELD LRN CTR,ALTERNATIVE INSTRUCTIONAL,'481350007164,LUFKIN,,'09-12,5,High School,0%,0%,.,87.5%,.,.,.,.,Not Rated,0
74,'003907,CENTRAL ISD,JUSTIN RISNER   ,'003907041,3907041,CENTRAL Junior High,REGULAR INSTRUCTIONAL,'481350000847,POLLOK,RONNIE MUSGROVE   ,'05-08,451,Middle School,56%,63%,94.2%,16.5%,36.1,3.6,53350,68250,D,66
72,'003907,CENTRAL ISD,JUSTIN RISNER   ,'003907102,3907102,CENTRAL Elementary,REGULAR INSTRUCTIONAL,'481350005619,POLLOK,MRS AMANDA WRIGHT   ,'EE-04,633,Elementary School,59%,69%,94.6%,15.4%,43.8,2,53962,66950,D,64
71,'004901,ROCKPORT-FULTON ISD,DR LESLEY AUSTIN   ,'004901001,4901001,ROCKPORT-FULTON High School,REGULAR INSTRUCTIONAL,'480855000222,ROCKPORT,DR JODI L CARTER   ,'09-12,918,High School,47%,58%,91.9%,30.3%,69.1,3.4,60751,88344,B,80
76,'004901,ROCKPORT-FULTON ISD,DR LESLEY AUSTIN   ,'004901041,4901041,ROCKPORT-FULTON Middle,REGULAR INSTRUCTIONAL,'480855000223,ROCKPORT,JERRY M HOWELL   ,'06-08,665,Middle School,52%,70%,92.9%,24.3%,50.6,3,57205,85178,D,69
80,'004901,ROCKPORT-FULTON ISD,DR LESLEY AUSTIN   ,'004901101,4901101,FULTON Elementary,REGULAR INSTRUCTIONAL,'480855000219,ROCKPORT,MRS LINDA V COX   ,'03-05,619,Elementary School,64%,71%,94.1%,18.7%,46.4,1,57721,93000,D,64
75,'004901,ROCKPORT-FULTON ISD,DR LESLEY AUSTIN   ,'004901103,4901103,LIVE OAK LEARNING CENTER,REGULAR INSTRUCTIONAL,'480855000220,ROCKPORT,MRS DENISE POLAND   ,'EE-02,711,Elementary School,.,.,92.9%,24.7%,49.2,3,57265,85576,D,64
77,'005901,ARCHER CITY ISD,MR JON HARTGRAVES   ,'005901001,5901001,ARCHER CITY High School,REGULAR INSTRUCTIONAL,'480861000229,ARCHER CITY,JAMIE KRENEK   ,'07-12,206,High School,26%,52%,93.8%,19.4%,25,1.4,56768,98100,A,92
82,'005901,ARCHER CITY ISD,MR JON HARTGRAVES   ,'005901101,5901101,ARCHER CITY Elementary,REGULAR INSTRUCTIONAL,'480861000228,ARCHER CITY,AMY HUSEMANN   ,'EE-06,278,Elementary School,26%,38%,95.5%,7.2%,20.8,0.1,55270,97500,B,89
78,'005902,HOLLIDAY ISD,MR CODY CARROLL   ,'005902001,5902001,HOLLIDAY High School,REGULAR INSTRUCTIONAL,'482340002375,HOLLIDAY,MR BRUCE PATTERSON   ,'09-12,365,High School,17%,37%,96.8%,6.9%,34.3,3,59503,86667,A,93
79,'005902,HOLLIDAY ISD,MR CODY CARROLL   ,'005902041,5902041,HOLLIDAY Middle,REGULAR INSTRUCTIONAL,'482340006118,HOLLIDAY,CLAY STREALY   ,'06-08,261,Middle School,26%,45%,96.3%,8.5%,19.4,0,57847,.,B,83
81,'005902,HOLLIDAY ISD,MR CODY CARROLL   ,'005902101,5902101,HOLLIDAY Elementary,REGULAR INSTRUCTIONAL,'482340002374,HOLLIDAY,MARIAH SUTHERLAND   ,'EE-05,494,Elementary School,42%,43%,96.7%,3.9%,36.3,2,55766,79000,B,81
84,'005904,WINDTHORST ISD,JASON NOLAN   ,'005904001,5904001,WINDTHORST High School,REGULAR INSTRUCTIONAL,'484608005265,WINDTHORST,DANIEL WILLIAMS   ,'09-12,142,High School,28%,16%,97.1%,8.5%,15.5,0.2,58965,70599,A,92
85,'005904,WINDTHORST ISD,JASON NOLAN   ,'005904041,5904041,WINDTHORST JH,REGULAR INSTRUCTIONAL,'484608012438,WINDTHORST,DANIEL WILLIAMS   ,'06-08,107,Middle School,22%,34%,97.1%,0.8%,8.1,0,51510,.,B,87
83,'005904,WINDTHORST ISD,JASON NOLAN   ,'005904101,5904101,WINDTHORST Elementary,REGULAR INSTRUCTIONAL,'484608005264,WINDTHORST,MRS ASHLEY SCHROEDER   ,'EE-05,257,Elementary School,21%,36%,96.8%,3.7%,16.3,1,52896,69640,B,88
87,'006902,CLAUDE ISD,BRENT KIRKLAND   ,'006902001,6902001,CLAUDE SCHOOLS,REGULAR INSTRUCTIONAL,'481425000900,CLAUDE,KENDRA SHERRILL   MR BRANDON HOLLAND   ,'EE-12,297,Elementary/Secondary,26%,41%,95.0%,12.8%,27.9,1.6,49000,76618,A,92
86,'007901,CHARLOTTE ISD,MR ROGER SOLIS   ,'007901001,7901001,CHARLOTTE High School,REGULAR INSTRUCTIONAL,'481371000863,CHARLOTTE,MS SANDRA NIX   ,'09-12,137,High School,53%,82%,93.8%,24.1%,17.5,1,59664,92000,C,75
88,'007901,CHARLOTTE ISD,MR ROGER SOLIS   ,'007901003,7901003,DISTRICT REASSIGNMENT & OPPORTUNITY CENTER,DAEP INSTRUCTIONAL,'481371010388,CHARLOTTE,MR RAUL MORALES   ,'03-12,0,Elementary/Secondary,.,.,.,.,.,.,.,.,Not Rated,0
90,'007901,CHARLOTTE ISD,MR ROGER SOLIS   ,'007901041,7901041,CHARLOTTE Middle,REGULAR INSTRUCTIONAL,'481371000864,CHARLOTTE,MS DALE GONZALES   ,'06-08,84,Middle School,60%,72%,94.2%,15.5%,10.8,1,56786,76000,D,66
89,'007901,CHARLOTTE ISD,MR ROGER SOLIS   ,'007901101,7901101,CHARLOTTE Elementary,REGULAR INSTRUCTIONAL,'481371000862,CHARLOTTE,MS LESLIE STEVENS   ,'EE-05,203,Elementary School,64%,71%,95.0%,9.0%,18.2,0.5,57194,62760,C,74
95,'007902,JOURDANTON ISD,DR TRACY CANTER   ,'007902001,7902001,JOURDANTON High School,REGULAR INSTRUCTIONAL,'482496002785,JOURDANTON,MR JUSTIN SAUNDERS   ,'09-12,471,High School,40%,83%,95.1%,17.0%,38.7,2.5,64799,90566,C,75
91,'007902,JOURDANTON ISD,DR TRACY CANTER   ,'007902004,7902004,THE LARRY BROWN SCHOOL,JJAEP INSTRUCTIONAL,'482496008421,JOURDANTON,MR JEFF THORNTON   ,'04-12,4,Elementary/Secondary,.,.,.,.,0.1,0,56949,.,Not Rated,0
94,'007902,JOURDANTON ISD,DR TRACY CANTER   ,'007902005,7902005,ATASCOSA COUNTY JUVENILE JUSTICE CENTER,ALTERNATIVE INSTRUCTIONAL,'482496007778,JOURDANTON,MR JEFF THORNTON   ,'03-12,18,Elementary/Secondary,.,.,.,.,2.2,0,66125,.,Not Rated,0
93,'007902,JOURDANTON ISD,DR TRACY CANTER   ,'007902006,7902006,JOURDANTON DAEP,DAEP INSTRUCTIONAL,'482496012836,JOURDANTON,MR JEFF THORNTON   ,'01-12,-1,Elementary/Secondary,.,.,87.5%,32.1%,0.7,0,66048,.,Not Rated,0
96,'007902,JOURDANTON ISD,DR TRACY CANTER   ,'007902041,7902041,JOURDANTON Junior High,REGULAR INSTRUCTIONAL,'482496005511,JOURDANTON,SHARON NEUMANN   ,'06-08,362,Middle School,44%,60%,94.7%,15.8%,25.3,3.5,59762,88457,C,74
98,'007902,JOURDANTON ISD,DR TRACY CANTER   ,'007902101,7902101,JOURDANTON Elementary,REGULAR INSTRUCTIONAL,'482496002784,JOURDANTON,BRYAN BORTH   ,'02-05,434,Elementary School,53%,64%,94.4%,15.2%,31.3,1.5,59078,87138,C,71
97,'007902,JOURDANTON ISD,DR TRACY CANTER   ,'007902102,7902102,JOURDANTON ECC,REGULAR INSTRUCTIONAL,'482496014156,JOURDANTON,CHRISTINA GALLEGOS   ,'PK-01,259,Elementary School,.,.,93.4%,26.6%,20.6,1,53083,85807,C,71
103,'007904,LYTLE ISD,DR DUSTIN ALAN BREITHAUPT   ,'007904001,7904001,LYTLE High School,REGULAR INSTRUCTIONAL,'482865003246,LYTLE,MR MATTHEW JENKE   ,'09-12,525,High School,55%,89%,89.2%,41.4%,39.7,2,60861,89205,D,63
100,'007904,LYTLE ISD,DR DUSTIN ALAN BREITHAUPT   ,'007904002,7904002,LYTLE DAEP,DAEP INSTRUCTIONAL,'482865008422,LYTLE,MS RACHEL REYES   ,'03-12,6,Elementary/Secondary,0%,0%,88.1%,44.4%,0,0,.,.,Not Rated,0
102,'007904,LYTLE ISD,DR DUSTIN ALAN BREITHAUPT   ,'007904041,7904041,LYTLE Junior High,REGULAR INSTRUCTIONAL,'482865005544,LYTLE,MRS JENNIFER SPRENGER   ,'06-08,420,Middle School,60%,77%,92.8%,23.9%,30.2,2,57382,80740,D,66
101,'007904,LYTLE ISD,DR DUSTIN ALAN BREITHAUPT   ,'007904101,7904101,LYTLE Elementary,REGULAR INSTRUCTIONAL,'482865003245,LYTLE,MRS WENDY CONOVER   ,'02-05,532,Elementary School,66%,78%,93.7%,18.6%,33,3,56139,76453,D,62
104,'007904,LYTLE ISD,DR DUSTIN ALAN BREITHAUPT   ,'007904103,7904103,LYTLE PrimaryMARY SCHOOL,REGULAR INSTRUCTIONAL,'482865008424,LYTLE,MRS SHAVAN GALINDO   ,'EE-01,342,Elementary School,.,.,93.5%,22.4%,21.8,2,56470,80191,D,62
